eeschema (2013-05-31 BZR 4019)-stable  >> Creation date: 28/07/2013 09:34:27
#Cmp ( ordre = Référence )
| C1001      10µ/16V    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1002      10µ/16V    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1003      CP          ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1004      100n        ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1005      C           ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1006      3.3n        ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1007      CP          ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1008      10n         ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1009      100p        ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1010      C           ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1011      22U/10V     ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1012      22U/10V     ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1013      10µ/16V    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1014      10µ/16V    ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1015      100n        ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1016      3.3n        ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1017      10n         ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1018      100p        ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1019      22U/10V     ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C1020      22U/10V     ~                   ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
